C. Demografía y Población
Padrón municipal
Características de la población a 1 de enero
Nivel de estudios
"1.1.6.2. Población de 25 y más años clasificada por Nivel de estudios según Distrito y Grupo de edad, para cada Sexo"
;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2019;Ciudad de Madrid;Total;2.525.009;12.832;110.193;291.746;566.386;100.167;96.511;385.751;45.668;146.801;47.833;536.030;20.049;161.789;3.253;1.145.780;3.957;37.986;115.093;257.401;51.171;55.878;185.088;16.922;46.958;36.584;249.897;10.855;76.622;1.368;1.379.229;8.875;72.207;176.653;308.985;48.996;40.633;200.663;28.746;99.843;11.249;286.133;9.194;85.167;1.885
1 de enero de 2019;Ciudad de Madrid;25 a 29 años;206.628;1.381;4.385;8.149;41.129;9.784;7.494;38.923;2.169;4.617;1.550;65.977;1.420;19.559;91;98.707;902;2.725;4.478;21.014;5.350;4.129;20.864;950;1.410;979;27.076;673;8.098;59;107.921;479;1.660;3.671;20.115;4.434;3.365;18.059;1.219;3.207;571;38.901;747;11.461;32
1 de enero de 2019;Ciudad de Madrid;30 a 34 años;225.627;344;3.868;10.159;48.724;9.454;11.236;29.164;3.646;13.049;4.584;63.495;2.504;25.146;254;108.835;186;2.311;5.550;24.744;5.279;6.572;15.396;1.584;3.818;3.226;28.494;1.216;10.279;180;116.792;158;1.557;4.609;23.980;4.175;4.664;13.768;2.062;9.231;1.358;35.001;1.288;14.867;74
1 de enero de 2019;Ciudad de Madrid;35 a 39 años;248.477;322;2.087;10.373;55.797;9.621;9.784;37.437;6.066;16.750;6.057;67.439;4.075;22.641;28;121.285;161;1.090;5.504;29.021;5.244;5.677;20.072;2.594;5.213;4.290;30.518;2.082;9.800;19;127.192;161;997;4.869;26.776;4.377;4.107;17.365;3.472;11.537;1.767;36.921;1.993;12.841;9
1 de enero de 2019;Ciudad de Madrid;40 a 44 años;270.208;492;2.492;11.727;55.716;11.129;12.591;41.744;7.896;19.420;7.168;75.273;3.731;20.804;25;131.694;236;1.253;6.193;29.243;6.084;6.930;22.020;3.165;6.431;4.912;33.719;2.037;9.453;18;138.514;256;1.239;5.534;26.473;5.045;5.661;19.724;4.731;12.989;2.256;41.554;1.694;11.351;7
1 de enero de 2019;Ciudad de Madrid;45 a 49 años;256.850;616;2.698;12.903;56.504;12.673;13.660;40.179;7.339;18.031;6.057;67.124;2.601;16.436;29;124.336;279;1.371;6.655;28.803;6.763;7.554;20.120;2.662;6.287;4.258;30.510;1.361;7.698;15;132.514;337;1.327;6.248;27.701;5.910;6.106;20.059;4.677;11.744;1.799;36.614;1.240;8.738;14
1 de enero de 2019;Ciudad de Madrid;50 a 54 años;248.225;721;3.214;15.301;56.046;15.371;15.104;43.591;5.907;16.425;4.425;55.250;1.691;15.055;124;117.038;322;1.501;7.452;27.350;7.654;8.124;20.400;2.099;5.415;3.444;24.902;934;7.375;66;131.187;399;1.713;7.849;28.696;7.717;6.980;23.191;3.808;11.010;981;30.348;757;7.680;58
1 de enero de 2019;Ciudad de Madrid;55 a 59 años;223.020;786;3.506;18.686;54.304;11.984;9.741;44.033;4.182;14.141;3.601;43.424;1.213;13.119;300;102.732;315;1.479;8.605;25.191;5.192;5.382;20.112;1.318;4.662;2.903;20.239;703;6.497;134;120.288;471;2.027;10.081;29.113;6.792;4.359;23.921;2.864;9.479;698;23.185;510;6.622;166
1 de enero de 2019;Ciudad de Madrid;60 a 64 años;184.329;726;4.503;22.966;45.924;6.241;4.613;36.962;2.976;12.090;2.588;33.386;858;10.120;376;82.409;275;1.793;9.615;19.161;2.676;2.928;16.748;914;3.894;2.163;16.433;511;5.133;165;101.920;451;2.710;13.351;26.763;3.565;1.685;20.214;2.062;8.196;425;16.953;347;4.987;211
