C. Demografía y Población
Padrón municipal
Características de la población a 1 de enero
Nivel de estudios
"1.1.6.2. Población de 25 y más años clasificada por Nivel de estudios según Distrito y Grupo de edad, para cada Sexo"
;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta;Total;No sabe leer ni escribir;Sin estudios;Enseñanza primaria incompleta;"Bachiller elemental, Graduado escolar, E.S.O.";Formación profesional 1er grado;Formación profesional 2º grado;"Bachiller superior, B.U.P.";Otros titulados medios;Diplomado Escuela universitaria;Arquitecto o Ingeniero técnico;"Licenciado universitario, Arquitecto o Ingeniero";Titulado estudios superiores no universitarios;Doctorado o Estudios postgraduados;Desconocido y No consta
1 de enero de 2025;Ciudad de Madrid;Total;2.741.863;11.684;75.376;234.591;600.714;106.479;116.278;441.512;51.805;139.285;45.225;647.071;23.771;248.069;3;1.257.426;4.819;26.239;92.760;277.693;53.963;65.926;214.500;19.750;44.941;33.750;295.460;12.647;114.977;1;1.484.437;6.865;49.137;141.831;323.021;52.516;50.352;227.012;32.055;94.344;11.475;351.611;11.124;133.092;2
1 de enero de 2025;Ciudad de Madrid;25 a 29 años;256.661;2.674;1.735;6.505;46.751;9.038;12.527;57.116;3.230;3.164;1.055;78.737;1.841;32.288;0;124.072;1.744;1.096;3.882;25.355;5.053;6.854;30.427;1.468;1.240;572;31.905;878;13.598;0;132.589;930;639;2.623;21.396;3.985;5.673;26.689;1.762;1.924;483;46.832;963;18.690;0
1 de enero de 2025;Ciudad de Madrid;30 a 34 años;271.527;1.268;3.040;6.834;49.181;10.057;12.536;42.074;4.126;4.738;1.984;85.525;2.633;47.531;0;133.726;827;1.913;3.944;26.232;5.528;7.081;23.379;1.953;1.844;1.219;37.674;1.356;20.776;0;137.801;441;1.127;2.890;22.949;4.529;5.455;18.695;2.173;2.894;765;47.851;1.277;26.755;0
1 de enero de 2025;Ciudad de Madrid;35 a 39 años;248.131;331;3.617;8.419;52.062;9.644;12.780;32.735;4.370;10.958;3.839;70.635;2.833;35.908;0;122.464;198;2.171;4.590;27.021;5.287;7.511;17.501;2.026;3.485;2.643;32.872;1.465;15.694;0;125.667;133;1.446;3.829;25.041;4.357;5.269;15.234;2.344;7.473;1.196;37.763;1.368;20.214;0
1 de enero de 2025;Ciudad de Madrid;40 a 44 años;250.292;271;1.955;9.515;57.042;9.367;10.885;37.498;5.844;14.513;5.249;66.213;3.686;28.253;1;122.467;126;1.062;5.082;29.642;5.008;6.263;19.555;2.537;4.680;3.682;30.216;1.950;12.664;0;127.825;145;893;4.433;27.400;4.359;4.622;17.943;3.307;9.833;1.567;35.997;1.736;15.589;1
1 de enero de 2025;Ciudad de Madrid;45 a 49 años;269.552;436;2.194;10.364;57.212;10.743;12.656;42.673;7.566;17.617;6.260;73.398;3.877;24.556;0;130.316;202;1.088;5.369;29.361;5.788;6.872;22.167;3.074;5.784;4.308;33.023;2.024;11.256;0;139.236;234;1.106;4.995;27.851;4.955;5.784;20.506;4.492;11.833;1.952;40.375;1.853;13.300;0
1 de enero de 2025;Ciudad de Madrid;50 a 54 años;265.112;521;2.385;11.715;57.593;11.903;13.694;41.805;7.582;17.927;6.313;71.043;2.887;19.744;0;126.476;238;1.135;5.937;28.950;6.313;7.548;20.640;2.738;6.102;4.359;31.651;1.474;9.391;0;138.636;283;1.250;5.778;28.643;5.590;6.146;21.165;4.844;11.825;1.954;39.392;1.413;10.353;0
1 de enero de 2025;Ciudad de Madrid;55 a 59 años;248.921;606;2.797;13.598;55.572;14.660;15.096;42.939;6.150;16.100;4.452;58.179;1.944;16.828;0;116.074;272;1.299;6.613;26.520;7.325;8.078;19.968;2.123;5.360;3.362;25.915;1.035;8.204;0;132.847;334;1.498;6.985;29.052;7.335;7.018;22.971;4.027;10.740;1.090;32.264;909;8.624;0
1 de enero de 2025;Ciudad de Madrid;60 a 64 años;225.851;673;3.128;16.121;53.384;12.659;10.805;43.872;4.561;14.040;3.710;47.254;1.355;14.288;1;102.853;261;1.306;7.382;24.435;5.537;5.776;19.747;1.439;4.562;2.942;21.594;772;7.099;1;122.998;412;1.822;8.739;28.949;7.122;5.029;24.125;3.122;9.478;768;25.660;583;7.189;0
