COD_DISTRITO;DESC_DISTRITO;COD_DIST_BARRIO;DESC_BARRIO;COD_BARRIO;COD_DIST_SECCION;COD_SECCION;COD_EDAD_INT;EspanolesHombres;EspanolesMujeres;ExtranjerosHombres;ExtranjerosMujeres
1;CENTRO;101;PALACIO;1;1001;1;0;1;1;1;2
1;CENTRO;101;PALACIO;1;1001;1;1;2;2;;
1;CENTRO;101;PALACIO;1;1001;1;2;4;2;2;3
1;CENTRO;101;PALACIO;1;1001;1;3;4;6;1;
1;CENTRO;101;PALACIO;1;1001;1;4;4;2;1;1
1;CENTRO;101;PALACIO;1;1001;1;5;6;2;;1
1;CENTRO;101;PALACIO;1;1001;1;6;3;2;;
1;CENTRO;101;PALACIO;1;1001;1;7;4;3;;
1;CENTRO;101;PALACIO;1;1001;1;8;3;4;;
1;CENTRO;101;PALACIO;1;1001;1;9;3;2;;
1;CENTRO;101;PALACIO;1;1001;1;10;2;;;1
1;CENTRO;101;PALACIO;1;1001;1;11;2;2;;
1;CENTRO;101;PALACIO;1;1001;1;12;3;6;;1
1;CENTRO;101;PALACIO;1;1001;1;13;2;1;;1
1;CENTRO;101;PALACIO;1;1001;1;14;2;6;;
1;CENTRO;101;PALACIO;1;1001;1;15;4;2;;2
1;CENTRO;101;PALACIO;1;1001;1;16;4;5;1;
1;CENTRO;101;PALACIO;1;1001;1;17;5;2;;1
1;CENTRO;101;PALACIO;1;1001;1;18;2;2;;3
1;CENTRO;101;PALACIO;1;1001;1;19;4;3;;
1;CENTRO;101;PALACIO;1;1001;1;20;4;3;2;2
1;CENTRO;101;PALACIO;1;1001;1;21;1;2;1;
1;CENTRO;101;PALACIO;1;1001;1;22;2;6;1;5
1;CENTRO;101;PALACIO;1;1001;1;23;4;2;;3
1;CENTRO;101;PALACIO;1;1001;1;24;5;2;1;2
1;CENTRO;101;PALACIO;1;1001;1;25;5;3;;4
1;CENTRO;101;PALACIO;1;1001;1;26;4;4;;2
1;CENTRO;101;PALACIO;1;1001;1;27;1;2;3;3
1;CENTRO;101;PALACIO;1;1001;1;28;5;5;3;6
1;CENTRO;101;PALACIO;1;1001;1;29;6;4;1;6
1;CENTRO;101;PALACIO;1;1001;1;30;4;5;2;5
1;CENTRO;101;PALACIO;1;1001;1;31;8;6;3;2
1;CENTRO;101;PALACIO;1;1001;1;32;3;6;1;4
1;CENTRO;101;PALACIO;1;1001;1;33;5;3;3;3
1;CENTRO;101;PALACIO;1;1001;1;34;11;9;;2
1;CENTRO;101;PALACIO;1;1001;1;35;5;5;2;5
1;CENTRO;101;PALACIO;1;1001;1;36;4;2;5;4
1;CENTRO;101;PALACIO;1;1001;1;37;12;4;;3
1;CENTRO;101;PALACIO;1;1001;1;38;6;9;1;2
1;CENTRO;101;PALACIO;1;1001;1;39;13;9;4;1
1;CENTRO;101;PALACIO;1;1001;1;40;9;6;1;2
1;CENTRO;101;PALACIO;1;1001;1;41;8;7;1;5
1;CENTRO;101;PALACIO;1;1001;1;42;7;10;1;2
1;CENTRO;101;PALACIO;1;1001;1;43;13;7;3;
1;CENTRO;101;PALACIO;1;1001;1;44;6;6;;1
1;CENTRO;101;PALACIO;1;1001;1;45;7;3;2;
1;CENTRO;101;PALACIO;1;1001;1;46;6;7;1;1
