E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.21.C. Evolución del precio de oferta de alquiler de la vivienda (€/m2) por Distrito y Mes (Período: 2008-2024)
;;Ciudad de Madrid;11. Carabanchel
2015;Enero;"11,5";"8,5"
2015;Febrero;"11,5";"8,5"
2015;Marzo;"11,6";"8,6"
2015;Abril;"11,6";"8,6"
2015;Mayo;"11,7";"8,6"
2015;Junio;"11,7";"8,6"
2015;Julio;"11,8";"8,7"
2015;Agosto;"11,9";"8,7"
2015;Septiembre;12;"8,8"
2015;Octubre;"12,1";"8,8"
2015;Noviembre;"12,1";"8,8"
2015;Diciembre;12;"8,8"
2016;Enero;"12,1";"8,9"
2016;Febrero;"12,1";"8,9"
2016;Marzo;"12,2";"8,9"
2016;Abril;"12,4";"8,9"
2016;Mayo;"12,4";9
2016;Junio;"12,5";"9,1"
2016;Julio;"12,7";"9,2"
2016;Agosto;"12,8";"9,2"
2016;Septiembre;"12,9";"9,2"
2016;Octubre;13;"9,3"
2016;Noviembre;13;"9,3"
2016;Diciembre;"13,2";"9,5"
2017;Enero;"13,3";"9,7"
2017;Febrero;"13,5";"9,8"
2017;Marzo;"13,4";"9,8"
2017;Abril;"13,5";"9,9"
2017;Mayo;"13,5";"9,9"
2017;Junio;"13,6";"9,8"
2017;Julio;"13,8";10
2017;Agosto;"13,9";10
2017;Septiembre;"14,2";10
2017;Octubre;"14,2";"10,1"
2017;Noviembre;"14,2";"10,3"
2017;Diciembre;"14,2";"10,6"
2018;Enero;"14,3";"10,8"
2018;Febrero;"14,5";"10,8"
2018;Marzo;"14,6";"10,8"
2018;Abril;"14,9";11
2018;Mayo;"14,9";"10,9"
2018;Junio;15;11
2018;Julio;"15,1";11
2018;Agosto;"15,2";"10,9"
2018;Septiembre;"15,3";"10,9"
2018;Octubre;"15,5";"11,1"
2018;Noviembre;"15,4";"11,5"
2018;Diciembre;"15,3";"11,5"
2019;Enero;"15,3";"11,3"
2019;Febrero;"15,4";"11,4"
2019;Marzo;"15,5";"11,5"
2019;Abril;"15,5";"11,5"
2019;Mayo;"15,5";"11,5"
2019;Junio;"15,6";"11,7"
2019;Julio;"15,6";"11,8"
2019;Agosto;"15,7";"11,8"
2019;Septiembre;"15,9";12
2019;Octubre;"15,9";"11,8"
2019;Noviembre;"15,7";"11,8"
2019;Diciembre;"15,6";"11,8"
2020;Enero;"15,5";"11,9"
2020;Febrero;"15,6";"12,1"
2020;Marzo;"15,7";"12,2"
2020;Abril;"15,9";"12,3"
2020;Mayo;"16,3";"12,5"
2020;Junio;"16,3";"12,6"
2020;Julio;16;"12,2"
2020;Agosto;"15,8";"12,2"
2020;Septiembre;"15,7";"12,1"
2020;Octubre;"15,4";"11,8"
2020;Noviembre;15;"11,7"
2020;Diciembre;"14,7";"11,5"
2021;Enero;"14,5";"11,3"
2021;Febrero;"14,4";"11,4"
2021;Marzo;"14,4";"11,4"
2021;Abril;"14,3";"11,4"
2021;Mayo;"14,3";"11,4"
2021;Junio;"14,3";"11,4"
2021;Julio;"14,3";"11,3"
2021;Agosto;"14,4";"11,4"
2021;Septiembre;"14,5";"11,4"
2021;Octubre;"14,5";"11,6"
2021;Noviembre;"14,4";"11,7"
2021;Diciembre;"14,3";"11,6"
2022;Enero;"14,4";"11,7"
2022;Febrero;"14,5";"11,6"
2022;Marzo;"14,7";"11,7"
2022;Abril;"14,9";"11,9"
2022;Mayo;15;"11,9"
2022;Junio;"15,2";12
2022;Julio;"15,5";"12,2"
2022;Agosto;"15,7";"12,3"
2022;Septiembre;"15,9";"12,5"
2022;Octubre;"15,9";"12,5"
2022;Noviembre;"15,8";"12,5"
2022;Diciembre;"15,8";"12,6"
2023;Enero;16;"12,6"
2023;Febrero;"16,2";"12,6"
2023;Marzo;"16,2";"12,9"
2023;Abril;"16,4";"13,3"
2023;Mayo;"16,6";"13,3"
2023;Junio;"16,8";"13,3"
2023;Julio;"17,1";"13,5"
2023;Agosto;"17,4";"13,6"
2023;Septiembre;"17,7";"13,7"
2023;Octubre;"17,8";"13,9"
2023;Noviembre;"17,7";"13,9"
2023;Diciembre;"17,9";"14,1"
2024;Enero;"18,3";"14,2"
2024;Febrero;"18,7";"14,4"
2024;Marzo;"18,9";"14,6"
2024;Abril;"19,2";15
2024;Mayo;"19,4";15
2024;Junio;"19,8";"15,5"
2024;Julio;"19,8";"15,5"
2024;Agosto;"19,9";"15,8"
2024;Septiembre;"20,4";16
2024;Octubre;"20,6";"16,1"
2024;Noviembre;"20,5";16
2024;Diciembre;"20,7";"16,2"
;
;
"Fuente: Datos obtenidos del informe histórico de precios de alquiler de Idealista.
"
"Observaciones: El símbolo "".."" debe interpretarse como dato no disponible. Hasta el año 2010 únicamente se ofrecen datos para el total de la Ciudad de Madrid. "
