E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
;Euros/m2;Euros/m2
;Usadas;Usadas
;Ciudad de Madrid;11. Carabanchel
;Ciudad de Madrid;11. Carabanchel
2015;"2.461,14";"1.438,32"
2016;"2.637,78";"1.538,54"
2017;"2.944,66";"1.753,67"
2018;"3.387,14";"1.944,43"
2019;"3.473,29";"2.156,29"
2020;"3.572,02";"2.306,54"
2021;"3.648,73";"2.333,45"
2022;"3.966,11";"2.389,46"
2023;"4.076,59";"2.425,38"
2024;"4.544,27";"2.720,33"
2025;"5.333,59";"3.321,28"
;
;
Fuente: Colegio de Registradores de España
"Observaciones: Tasa de cobertura: La información recoge 96,8% de las transmisiones de 2007;97,6% de 2008;98,1% de 2009;96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;98,1% de 2009; 96,2% de 2010;97,9% de 2011;97,5% de 2012;97,5% de 2013;96,4% de 2014;96,1% de 2015;97,3% de 2016;97,1% de 2017;98,0% de 2018; 98,4% de 2019; 95,3% de 2020;95,6% del 2021,97,5% de 2022;97,5 de 2023 y 97,7%2024 y 2025(compraventas de viviendas con transmisión del 100% del dominio sobre la propiedad) y de las constituciones de hipotecas recogidas por los Registros de la Propiedad y las referidas al municipio de Madrid. En 2017 cambia de nombre el barrio de San Andrés por Casco histórico de Villaverde; en Villa de Vallecas se crea el barrio de Ensanche de Vallecas y en Vicálvaro se reestructuran los barrios. Para evitar ofrecer dar datos poco significativos, sólo se muestra el dato por barrio cuando se dispone de un número mínimo de 15 casos para calcular la media; sin embargo el dato de distrito siempre recoge todos los casos"
